,lyric,clean_lyric
488,And I almost do,
489,And I just wanna tell you,
490,It takes everything in me not to call you,takes
491,And I wish I could run to you,
492,And I hope you know that,
493,"Every time I don’t, I almost do, I almost do",dont
494,"I bet this time of night, you’re still up",night
495,I bet you’re tired from a long hard week,tired week
496,I bet you’re sittin' in your chair by the window,sittin chair window
497,"Looking out at the city, and I hope",city
498,Sometimes you wonder 'bout me,
499,You should've been there,shouldve
500,Should've burst through the door,shouldve burst door
501,"With that ""Baby, I'm right here"" smile",baby smile
502,And it would've felt like,wouldve felt
503,A million little shining stars had just aligned,shining stars aligned
504,And I would've been so happy,wouldve happy
505,Christmas lights glisten,christmas lights glisten
506,I've got my eye on the door,eye door
507,Just waiting for you to walk in,waiting walk
508,But the time is ticking,ticking
509,People ask me how I've been,people
510,As I comb back through my memory,comb memory
511,How you said you'd be here,
512,You said you'd be here,
513,And it was like slow motion,slow motion
514,Standing there in my party dress,standing party dress
515,In red lipstick,lipstick
516,With no one to impress,impress
517,And they're all laughing,laughing
518,As I'm looking around the room,room
519,But there was one thing missing,missing
520,And that was the moment I knew,moment knew
521,And the hours pass by,hours pass
522,Now I just wanna be alone,
523,But your close friends always seem to know,close friends
524,When there's something really wrong,wrong
525,So they follow me down the hall,
526,And there in the bathroom,bathroom
527,I try not to fall apart,fall
528,And the sinking feeling starts,sinking feeling starts
529,As I say hopelessly,hopelessly
530,"""He said he'd be here""",
531,And it was like slow motion,slow motion
532,Standing there in my party dress,standing party dress
533,In red lipstick,lipstick
534,With no one to impress,impress
535,And they're all laughing,laughing
536,And asking me about you,
537,But there was one thing missing (missing),missing missing
538,And that was the moment I knew,moment knew
539,What do you say,
540,When tears are streaming down your face,tears streaming face
541,In front of everyone you know?,front
542,And what do you do,
543,When the one who means the most to you,
544,Is the one who didn't show?,
545,You should've been here,shouldve
546,And I would've been so happy,wouldve happy
547,And it was like slow motion,slow motion
548,Standing there in my party dress,standing party dress
549,In red lipstick,lipstick
550,With no one to impress,impress
551,"And they're all standing around me, singing",standing singing
552,"""Happy birthday to you""",happy birthday
553,But there was one thing missing,missing
554,And that was the moment I knew,moment knew
555,"Oh-oh-oh-oh-oh-oh-oh, I knew",ohohohohohohoh knew
556,Oh-oh-oh-oh-oh-oh-oh,ohohohohohohoh
557,You called me later,called
558,"And said, ""I'm sorry I didn't make it""",
559,"And I said, ""I'm sorry, too""",
560,And that was the moment I knew,moment knew
561,"Nice to meet you, where you been?",nice meet
562,I could show you incredible things,incredible things
563,"Magic, madness, heaven, sin",magic madness heaven
564,"Saw you there, and I thought",thought
565,"""Oh my God, look at that face",god face
566,You look like my next mistake,mistake
567,"Love's a game, wanna play?""",loves game play
568,Ayy,ayy
569,"New money, suit and tie",money suit tie
570,I can read you like a magazine,magazine
571,Ain't it funny? Rumors fly,funny rumors
572,And I know you heard about me,heard
573,"So hey, let's be friends",friends
574,I'm dyin' to see how this one ends,dyin
575,Grab your passport and my hand,grab passport
576,I can make the bad guys good for a weekend,bad guys good weekend
577,So it's gonna be forever,forever
578,Or it's gonna go down in flames,flames
579,"You can tell me when it's over, mm",
580,If the high was worth the pain,high worth pain
581,Got a long list of ex-lovers,list exlovers
582,They'll tell you I'm insane,insane
583,'Cause you know I love the players,love players
584,And you love the game,love game
585,'Cause we're young and we're reckless,young reckless
586,We'll take this way too far,
587,"It'll leave you breathless, hmm",leave breathless hmm
588,Or with a nasty scar,nasty scar
589,Got a long list of ex-lovers,list exlovers
590,They'll tell you I'm insane,insane
591,"But I've got a blank space, baby",blank space baby
592,And I'll write your name,write
593,Joeboy 'Sip (Alcohol)' Official Lyrics & Meaning | Verified,joeboy sip alcohol official lyrics meaning verified
594,"Cherry lips, crystal skies",cherry lips crystal skies
595,I could show you incredible things,incredible things
596,"Stolen kisses, pretty lies",stolen kisses pretty lies
597,"You're the King, baby, I'm your Queen",baby queen
598,Find out what you want,find
599,Be that girl for a month,girl month
600,"Wait, the worst is yet to come",wait worst
601,"Oh, no",
602,"Screaming, crying, perfect storms",screaming crying perfect storms
603,I can make all the tables turn,tables turn
604,Rose garden filled with thorns,rose garden filled thorns
605,Keep you second guessin' like,guessin
606,"""Oh my God, who is she?""",god
607,I get drunk on jealousy,drunk jealousy
608,But you'll come back each time you leave,leave
609,"'Cause, darling, I'm a nightmare dressed like a daydream",darling nightmare dressed daydream
610,So it's gonna be forever,forever
611,Or it's gonna go down in flames,flames
612,"You can tell me when it's over, mm",
613,If the high was worth the pain,high worth pain
614,Got a long list of ex-lovers,list exlovers
615,They'll tell you I'm insane,insane
616,'Cause you know I love the players,love players
617,And you love the game,love game
618,'Cause we're young and we're reckless,young reckless
619,We'll take this way too far,
620,"It'll leave you breathless, hmm",leave breathless hmm
621,Or with a nasty scar,nasty scar
622,Got a long list of ex-lovers,list exlovers
623,They'll tell you I'm insane,insane
624,"But I've got a blank space, baby",blank space baby
625,And I'll write your name,write
626,Boys only want love if it's torture,boys love torture
627,"Don't say I didn't, say I didn't warn ya",didnt warn ya
628,Boys only want love if it's torture,boys love torture
629,"Don't say I didn't, say I didn't warn ya",didnt warn ya
630,So it's gonna be forever,forever
631,Or it's gonna go down in flames,flames
632,"You can tell me when it's over, mm",
633,If the high was worth the pain,high worth pain
634,Got a long list of ex-lovers,list exlovers
635,They'll tell you I'm insane,insane
636,'Cause you know I love the players,love players
637,And you love the game,love game
638,'Cause we're young and we're reckless,young reckless
639,We'll take this way too far,
640,"It'll leave you breathless, hmm",leave breathless hmm
641,Or with a nasty scar,nasty scar
642,Got a long list of ex-lovers,list exlovers
643,They'll tell you I'm insane,insane
644,"But I've got a blank space, baby",blank space baby
645,And I'll write your name,write
646,Midnight,midnight
647,"You come and pick me up, no headlights",pick headlights
648,A long drive,drive
649,Could end in burning flames or paradise,burning flames paradise
650,"Fade into view, oh",fade view
651,It's been a while since I have even heard from you,heard
652,(Heard from you),heard
653,"And I should just tell you to leave, 'cause I",leave
654,"Know exactly where it leads, but I",leads
655,Watch us go 'round and 'round each time,watch
656,You got that James Dean daydream look in your eye,james dean daydream eye
657,And I got that red lip classic thing that you like,lip classic
658,"And when we go crashing down, we come back every time",crashing
659,"'Cause we never go out of style, we never go out of style",style style
660,"You got that long hair, slicked back, white t-shirt",hair slicked white tshirt
661,And I got that good girl faith and a tight little skirt,good girl faith tight skirt
662,"And when we go crashing down, we come back every time",crashing
663,"'Cause we never go out of style, we never go out of style",style style
664,So it goes,
665,He can't keep his wild eyes on the road (Mmm),wild eyes road
666,Takes me home,takes
667,"The lights are off, he's taking off his coat (Mmm, yeah)",lights coat
668,"I say, ""I heard, oh",heard
669,"That you've been out and about with some other girl""",girl
670,Some other girl,girl
671,"He says, ""What you heard is true, but I",heard true
672,"Can't stop thinking 'bout you and I""",thinking
673,"I said, ""I've been there too a few times""",
674,'Cause you got that James Dean daydream look in your eye,james dean daydream eye
675,And I got that red lip classic thing that you like,lip classic
676,"And when we go crashing down, we come back every time",crashing
677,"'Cause we never go out of style, we never go out of style",style style
678,"You got that long hair, slicked back, white t-shirt",hair slicked white tshirt
679,And I got that good girl faith and a tight little skirt,good girl faith tight skirt
680,(A tight little skirt),tight skirt
681,"And when we go crashing down, we come back every time",crashing
682,"'Cause we never go out of style (We never go, we never go)",style
683,We never go out of style,style
684,Take me home,
685,Just take me home,
686,"Yeah, just take me home",
687,"Oh-oh, whoa-oh, oh",whoaoh
688,(Out of style),style
689,"Oh, you got that James Dean daydream look in your eye",james dean daydream eye
690,And I got that red lip classic thing that you like,lip classic
691,And when we go crashing down (And when we go),crashing
692,We come back every time,
693,"'Cause we never go out of style, we never go out of style",style style
694,I stay out too late,stay
695,Got nothing in my brain,brain
696,"That's what people say, mmm-mmm",people
697,"That's what people say, mmm-mmm",people
698,I go on too many dates,dates
699,But I can't make them stay,stay
700,"At least that's what people say, mmm-mmm",people
701,"That's what people say, mmm-mmm",people
702,But I keep cruisin',cruisin
703,"Can't stop, won't stop movin'",movin
